origen,destino,rssi_dbm
TCU_SUNNER_ID_077,TCU_SUNNER_ID_080,-75
TCU_SUNNER_ID_070,TCU_SUNNER_ID_067,-72
TCU_SUNNER_ID_080,TCU_SUNNER_ID_083,-72
TCU_SUNNER_ID_066,TCU_SUNNER_ID_063,-80
TCU_SUNNER_ID_078,TCU_SUNNER_ID_075,-80
TCU_SUNNER_ID_067,TCU_SUNNER_ID_064,-87
TCU_SUNNER_ID_070,TCU_SUNNER_ID_073,-82
TCU_SUNNER_ID_082,TCU_SUNNER_ID_085,-76
TCU_SUNNER_ID_085,TCU_SUNNER_ID_088,-71
TCU_SUNNER_ID_088,TCU_SUNNER_ID_091,-71
TCU_SUNNER_ID_062,TCU_SUNNER_ID_065,-58
TCU_SUNNER_ID_087,TCU_SUNNER_ID_090,-83
TCU_SUNNER_ID_090,TCU_SUNNER_ID_096,-81
TCU_SUNNER_ID_076,TCU_SUNNER_ID_082,-70
TCU_SUNNER_ID_094,TCU_SUNNER_ID_100,-79
TCU_SUNNER_ID_075,TCU_SUNNER_ID_069,-77
TCU_SUNNER_ID_078,TCU_SUNNER_ID_072,-83
TCU_SUNNER_ID_095,TCU_SUNNER_ID_101,-73
TCU_SUNNER_ID_098,TCU_SUNNER_ID_104,-70
TCU_SUNNER_ID_072,TCU_SUNNER_ID_066,-83
TCU_SUNNER_ID_068,TCU_SUNNER_ID_074,-63
TCU_SUNNER_ID_080,TCU_SUNNER_ID_086,-70
TCU_SUNNER_ID_063,TCU_SUNNER_ID_057,-80
TCU_SUNNER_ID_066,TCU_SUNNER_ID_060,-78
TCU_SUNNER_ID_070,TCU_SUNNER_ID_076,-79
TCU_SUNNER_ID_088,TCU_SUNNER_ID_094,-81
TCU_SUNNER_ID_097,TCU_SUNNER_ID_103,-76
TCU_SUNNER_ID_071,TCU_SUNNER_ID_077,-74
TCU_SUNNER_ID_083,TCU_SUNNER_ID_089,-76
TCU_SUNNER_ID_086,TCU_SUNNER_ID_092,-76
TCU_SUNNER_ID_101,TCU_SUNNER_ID_107,-76
TCU_SUNNER_ID_062,TCU_SUNNER_ID_071,-78
TCU_SUNNER_ID_086,TCU_SUNNER_ID_095,-84
TCU_SUNNER_ID_096,TCU_SUNNER_ID_105,-81
TCU_SUNNER_ID_097,TCU_SUNNER_ID_106,-77
TCU_SUNNER_ID_106,TCU_SUNNER_ID_108,-77
TCU_SUNNER_ID_059,TCU_SUNNER_ID_058,-85
TCU_SUNNER_ID_097,TCU_SUNNER_ID_099,-73
TCU_SUNNER_ID_097,TCU_SUNNER_ID_102,-75
TCU_SUNNER_ID_071,TCU_SUNNER_ID_070,-83
TCU_SUNNER_ID_076,TCU_SUNNER_ID_078,-78
TCU_SUNNER_ID_079,TCU_SUNNER_ID_081,-78
TCU_SUNNER_ID_068,TCU_SUNNER_ID_061,-82
TCU_SUNNER_ID_071,TCU_SUNNER_ID_079,-77
TCU_SUNNER_ID_071,TCU_SUNNER_ID_098,-73
TCU_SUNNER_ID_092,TCU_SUNNER_ID_093,-79
TCU_SUNNER_ID_086,TCU_SUNNER_ID_084,-79
TCU_SUNNER_ID_086,TCU_SUNNER_ID_087,-81
TCU_SUNNER_ID_062,TCU_SUNNER_ID_097,-77
